Entity,Code,Date,Total confirmed deaths due to COVID-19 per million people (deaths per million)
Afghanistan,AFG,"Mar 24, 2020",0.026
Afghanistan,AFG,"Mar 25, 2020",0.026
Afghanistan,AFG,"Mar 26, 2020",0.026
Afghanistan,AFG,"Mar 27, 2020",0.026
Afghanistan,AFG,"Mar 28, 2020",0.051
Afghanistan,AFG,"Mar 29, 2020",0.077
Afghanistan,AFG,"Mar 30, 2020",0.103
Afghanistan,AFG,"Mar 31, 2020",0.103
Afghanistan,AFG,"Apr 1, 2020",0.103
Afghanistan,AFG,"Apr 2, 2020",0.103
Afghanistan,AFG,"Apr 3, 2020",0.103
Afghanistan,AFG,"Apr 4, 2020",0.103
Afghanistan,AFG,"Apr 5, 2020",0.128
Afghanistan,AFG,"Apr 6, 2020",0.18
Afghanistan,AFG,"Apr 7, 2020",0.18
Afghanistan,AFG,"Apr 8, 2020",0.283
Afghanistan,AFG,"Apr 9, 2020",0.36
Afghanistan,AFG,"Apr 10, 2020",0.385
Afghanistan,AFG,"Apr 11, 2020",0.385
Afghanistan,AFG,"Apr 12, 2020",0.462
Afghanistan,AFG,"Apr 13, 2020",0.462
Afghanistan,AFG,"Apr 14, 2020",0.539
Afghanistan,AFG,"Apr 15, 2020",0.591
Afghanistan,AFG,"Apr 16, 2020",0.642
Afghanistan,AFG,"Apr 17, 2020",0.745
Afghanistan,AFG,"Apr 18, 2020",0.771
Afghanistan,AFG,"Apr 19, 2020",0.771
Afghanistan,AFG,"Apr 20, 2020",0.848
Afghanistan,AFG,"Apr 21, 2020",0.899
Afghanistan,AFG,"Apr 22, 2020",0.925
Afghanistan,AFG,"Apr 23, 2020",1.028
Afghanistan,AFG,"Apr 24, 2020",1.079
Afghanistan,AFG,"Apr 25, 2020",1.105
Afghanistan,AFG,"Apr 26, 2020",1.207
Afghanistan,AFG,"Apr 27, 2020",1.464
Afghanistan,AFG,"Apr 28, 2020",1.464
Afghanistan,AFG,"Apr 29, 2020",1.541
Afghanistan,AFG,"Apr 30, 2020",1.541
Afghanistan,AFG,"May 1, 2020",1.644
Africa,,"Mar 9, 2020",0.001
Africa,,"Mar 10, 2020",0.001
Africa,,"Mar 11, 2020",0.001
Africa,,"Mar 12, 2020",0.001
Africa,,"Mar 13, 2020",0.003
Africa,,"Mar 14, 2020",0.004
Africa,,"Mar 15, 2020",0.004
Africa,,"Mar 16, 2020",0.006
Africa,,"Mar 17, 2020",0.006
Africa,,"Mar 18, 2020",0.009
Africa,,"Mar 19, 2020",0.012
Africa,,"Mar 20, 2020",0.013
Africa,,"Mar 21, 2020",0.018
Africa,,"Mar 22, 2020",0.026
Africa,,"Mar 23, 2020",0.033
Africa,,"Mar 24, 2020",0.039
Africa,,"Mar 25, 2020",0.048
Africa,,"Mar 26, 2020",0.054
Africa,,"Mar 27, 2020",0.063
Africa,,"Mar 28, 2020",0.077
Africa,,"Mar 29, 2020",0.092
Africa,,"Mar 30, 2020",0.107
Africa,,"Mar 31, 2020",0.124
Africa,,"Apr 1, 2020",0.141
Africa,,"Apr 2, 2020",0.167
Africa,,"Apr 3, 2020",0.191
Africa,,"Apr 4, 2020",0.228
Africa,,"Apr 5, 2020",0.283
Africa,,"Apr 6, 2020",0.324
Africa,,"Apr 7, 2020",0.356
Africa,,"Apr 8, 2020",0.389
Africa,,"Apr 9, 2020",0.427
Africa,,"Apr 10, 2020",0.47
Africa,,"Apr 11, 2020",0.515
Africa,,"Apr 12, 2020",0.554
Africa,,"Apr 13, 2020",0.589
Africa,,"Apr 14, 2020",0.623
Africa,,"Apr 15, 2020",0.653
Africa,,"Apr 16, 2020",0.68
Africa,,"Apr 17, 2020",0.72
Africa,,"Apr 18, 2020",0.758
Africa,,"Apr 19, 2020",0.788
Africa,,"Apr 20, 2020",0.835
Africa,,"Apr 21, 2020",0.862
Africa,,"Apr 22, 2020",0.887
Africa,,"Apr 23, 2020",0.919
Africa,,"Apr 24, 2020",0.959
Africa,,"Apr 25, 2020",0.995
Africa,,"Apr 26, 2020",1.028
Africa,,"Apr 27, 2020",1.055
Africa,,"Apr 28, 2020",1.097
Africa,,"Apr 29, 2020",1.137
Africa,,"Apr 30, 2020",1.187
Africa,,"May 1, 2020",1.22
Albania,ALB,"Mar 12, 2020",0.347
